		P	A	h	b	s	t	r1	r1
1	10Б1	8.100	10.320	100.000	55.000	4.100	5.700	7.000	7.000
2	12Б1	8.700	11.030	117.600	64.000	3.800	5.100	7.000	7.000
3	12Б2	10.400	13.210	120.000	64.000	4.400	6.300	7.000	7.000
4	14Б1	10.500	13.390	137.400	73.000	3.800	5.600	7.000	7.000
5	14Б2	12.900	16.430	140.000	73.000	4.700	6.900	7.000	7.000
6	16Б1	12.700	16.180	157.000	82.000	4.000	5.900	9.000	9.000
7	16Б2	15.800	20.090	160.000	82.000	5.000	7.400	9.000	9.000
8	18Б1	15.400	19.580	177.000	91.000	4.300	6.500	9.000	9.000
9	18Б2	18.800	23.950	180.000	91.000	5.300	8.000	9.000	9.000
10	20Б1	22.400	28.490	200.000	100.000	5.600	8.500	12.000	12.000
11	23Б1	25.800	32.910	230.000	110.000	5.600	9.000	12.000	12.000
12	26Б1	28.000	35.620	258.000	120.000	5.800	8.500	12.000	12.000
13	26Б2	31.200	39.700	261.000	120.000	6.000	10.000	12.000	12.000
14	30Б1	32.900	41.920	296.000	140.000	5.800	8.500	15.000	15.000
15	30Б2	36.600	46.670	299.000	140.000	6.000	10.000	15.000	15.000
16	35Б1	38.900	49.530	346.000	155.000	6.200	8.500	18.000	18.000
17	35Б2	43.300	55.170	349.000	155.000	6.500	10.000	18.000	18.000
18	40Б1	48.100	61.250	392.000	165.000	7.000	9.500	21.000	21.000
19	40Б2	54.700	69.720	396.000	165.000	7.500	11.500	21.000	21.000
20	45Б1	59.800	76.230	443.000	180.000	7.800	11.000	21.000	21.000
21	45Б2	67.500	85.960	447.000	180.000	8.400	13.000	21.000	21.000
22	50Б1	73.000	92.980	492.000	200.000	8.800	12.000	21.000	21.000
23	50Б2	80.700	102.800	496.000	200.000	9.200	14.000	21.000	21.000
24	55Б1	89.000	113.370	543.000	220.000	9.500	13.500	24.000	24.000
25	55Б2	97.900	124.750	547.000	220.000	10.000	15.500	24.000	24.000
26	60Б1	106.200	135.260	593.000	230.000	10.500	15.500	24.000	24.000
27	60Б2	115.600	147.300	597.000	230.000	11.000	17.500	24.000	24.000
28	70Б1	129.300	164.700	691.000	260.000	12.000	15.500	24.000	24.000
29	70Б2	144.200	183.600	697.000	260.000	12.500	18.500	24.000	24.000
30	80Б1	159.500	203.200	791.000	280.000	13.500	17.000	26.000	26.000
31	80Б2	177.900	226.600	798.000	280.000	14.000	20.500	26.000	26.000
32	90Б1	194.000	247.100	893.000	300.000	15.000	18.500	30.000	30.000
33	90Б2	213.800	272.400	900.000	300.000	15.500	22.000	30.000	30.000
34	100Б1	230.600	293.820	990.000	320.000	16.000	21.000	30.000	30.000
35	100Б2	258.200	328.900	998.000	320.000	17.000	25.000	30.000	30.000
36	100Б3	285.700	364.000	1006.000	320.000	18.000	29.000	30.000	30.000
37	100Б4	314.500	400.600	1013.000	320.000	19.500	32.500	30.000	30.000
